STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,total_crimes
MADHYA PRADESH,2008,2937,736,805,6445,758,3185,0,14866
MADHYA PRADESH,2009,2998,841,858,6307,728,3983,1,15716
MADHYA PRADESH,2010,3135,1030,892,6646,918,3756,5,16382
MADHYA PRADESH,2011,3406,1088,811,6665,762,3732,45,16509
MADHYA PRADESH,2012,3425,1127,743,6655,774,3988,6,16718
MADHYA PRADESH,2013,3336,1084,869,6399,801,4025,16,16530
MADHYA PRADESH,2014,3387,1132,887,6359,805,4132,18,16720
MADHYA PRADESH,2015,3438,1180,905,6320,808,4239,19,16909
MADHYA PRADESH,2016,3488,1228,923,6280,812,4346,21,17098
MADHYA PRADESH,2017,3539,1277,941,6241,816,4453,23,17290
MADHYA PRADESH,2018,3590,1325,959,6201,820,4560,25,17480
MADHYA PRADESH,2019,3641,1373,977,6162,824,4667,26,17670
MADHYA PRADESH,2020,3691,1422,994,6122,827,4773,28,17857
MADHYA PRADESH,2021,3742,1470,1012,6083,831,4880,30,18048
MADHYA PRADESH,2022,3793,1518,1030,6043,835,4987,32,18238
MADHYA PRADESH,2023,3843,1566,1048,6004,839,5094,33,18427
MADHYA PRADESH,2024,3894,1615,1066,5964,843,5201,35,18618
MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1,12255
MAHARASHTRA,2002,1352,650,303,2686,769,5353,0,11113
MAHARASHTRA,2003,1268,626,368,2661,682,5452,0,11057
MAHARASHTRA,2004,1388,787,314,2831,862,5646,0,11828
MAHARASHTRA,2005,1545,851,341,3228,919,6233,0,13117
MAHARASHTRA,2006,1500,921,387,3479,984,6738,1,14010
MAHARASHTRA,2007,1451,967,436,3306,1039,7356,0,14555
MAHARASHTRA,2008,1558,998,390,3619,1091,7829,0,15485
MAHARASHTRA,2009,1483,926,341,3196,1099,7681,0,14726
MAHARASHTRA,2010,1599,1124,393,3661,1180,7434,0,15391
MAHARASHTRA,2011,1701,1252,339,3794,1071,7136,0,15293
MAHARASHTRA,2012,1839,1140,329,3935,1294,7415,0,15952
MAHARASHTRA,2013,1767,1265,378,3996,1233,8062,0,16701
MAHARASHTRA,2014,1809,1321,381,4108,1268,8272,0,17159
MAHARASHTRA,2015,1850,1377,385,4220,1302,8482,0,17616
MAHARASHTRA,2016,1891,1432,389,4332,1337,8692,0,18073
MAHARASHTRA,2017,1933,1488,393,4444,1371,8902,0,18531
MAHARASHTRA,2018,1974,1543,396,4556,1406,9112,0,18987
MAHARASHTRA,2019,2015,1599,400,4668,1440,9322,0,19444
MAHARASHTRA,2020,2057,1655,404,4780,1475,9532,0,19903
MAHARASHTRA,2021,2098,1710,407,4892,1509,9742,0,20358
MAHARASHTRA,2022,2139,1766,411,5004,1544,9952,0,20816
MAHARASHTRA,2023,2181,1822,415,5116,1578,10162,0,21274
MAHARASHTRA,2024,2222,1877,419,5228,1613,10372,0,21731
MANIPUR,2001,20,62,0,21,0,5,0,108
MANIPUR,2002,14,82,0,58,0,10,0,164
MANIPUR,2003,18,71,0,44,0,4,0,137
MANIPUR,2004,31,71,0,30,0,2,0,134
MANIPUR,2005,25,69,0,25,0,20,0,139
MANIPUR,2006,40,79,0,42,0,10,0,171
MANIPUR,2007,20,83,0,70,0,15,0,188
MANIPUR,2008,38,87,1,57,0,28,0,211
MANIPUR,2009,31,97,0,39,2,25,0,194
MANIPUR,2010,34,107,0,31,0,18,0,190
MANIPUR,2011,53,116,1,38,0,39,0,247
MANIPUR,2012,63,133,0,49,1,43,0,289
MANIPUR,2013,53,122,0,46,0,39,0,260
MANIPUR,2014,57,128,0,47,0,42,0,274
MANIPUR,2015,60,133,0,48,0,45,0,286
MANIPUR,2016,63,138,0,48,0,48,0,297
MANIPUR,2017,67,144,0,49,1,52,0,313
MANIPUR,2018,70,149,0,50,1,55,0,325
MANIPUR,2019,73,154,0,51,1,58,0,337
MANIPUR,2020,77,160,0,51,1,61,0,350
MANIPUR,2021,80,165,0,52,1,64,0,362
MANIPUR,2022,84,170,0,53,1,68,0,376
MANIPUR,2023,87,176,0,53,1,71,0,388
MANIPUR,2024,90,181,0,54,1,74,0,400
MEGHALAYA,2001,26,11,0,25,0,4,0,66
MEGHALAYA,2002,38,10,0,23,0,0,0,71
MEGHALAYA,2003,40,10,0,13,1,4,0,68
MEGHALAYA,2004,54,18,2,34,0,5,0,113
MEGHALAYA,2005,63,19,1,44,0,3,0,130
MEGHALAYA,2006,74,25,6,57,0,13,0,175
MEGHALAYA,2007,82,22,2,45,1,19,0,171
MEGHALAYA,2008,88,25,2,54,4,32,0,205
MEGHALAYA,2009,112,26,0,72,1,24,1,236
MEGHALAYA,2010,149,37,0,48,0,24,0,258
MEGHALAYA,2011,130,37,1,74,1,21,3,267
MEGHALAYA,2012,164,24,1,43,0,16,0,248
MEGHALAYA,2013,164,36,1,69,1,28,1,300
MEGHALAYA,2014,176,38,1,73,1,30,1,320
MEGHALAYA,2015,188,40,1,77,1,33,1,341
MEGHALAYA,2016,200,42,1,81,1,35,1,361
MEGHALAYA,2017,212,45,1,85,1,37,1,382
MEGHALAYA,2018,225,47,1,88,1,39,1,402
MEGHALAYA,2019,237,49,1,92,1,42,1,423
MEGHALAYA,2020,249,51,1,96,1,44,1,443
MEGHALAYA,2021,261,53,1,100,1,46,1,463
MEGHALAYA,2022,273,56,1,104,1,48,2,485
MEGHALAYA,2023,285,58,1,108,1,51,2,506
MEGHALAYA,2024,298,60,1,112,1,53,2,527
MIZORAM,2001,52,1,0,52,0,16,3,124
MIZORAM,2002,76,2,0,73,0,3,0,154
MIZORAM,2003,54,2,0,88,0,3,0,147
MIZORAM,2004,20,0,0,66,0,0,0,86
MIZORAM,2005,37,0,4,49,4,0,0,94
MIZORAM,2006,72,1,0,51,0,1,0,125
MIZORAM,2007,83,0,0,66,0,2,0,151
MIZORAM,2008,77,1,0,78,0,5,0,161
MIZORAM,2009,83,0,0,61,1,4,0,149
MIZORAM,2010,92,0,0,75,0,3,0,170
MIZORAM,2011,77,0,0,72,1,9,0,159
MIZORAM,2012,103,3,0,85,0,8,0,199
MIZORAM,2013,97,0,0,75,0,4,0,176
MIZORAM,2014,102,0,0,76,0,4,0,182
MIZORAM,2015,106,0,0,78,0,4,0,188
MIZORAM,2016,111,0,0,79,0,4,0,194
MIZORAM,2017,115,0,0,80,0,4,0,199
MIZORAM,2018,120,0,0,81,0,4,-1,204
MIZORAM,2019,124,0,0,82,0,4,-1,209
MIZORAM,2020,129,0,0,84,0,4,-1,216
MIZORAM,2021,133,0,0,85,0,4,-1,221
MIZORAM,2022,138,0,0,86,0,4,-1,227
MIZORAM,2023,142,0,0,87,0,4,-1,232
MIZORAM,2024,147,0,0,88,0,4,-1,238
NAGALAND,2001,17,6,0,6,0,0,0,29
NAGALAND,2002,17,4,0,1,0,0,0,22
NAGALAND,2003,14,3,0,4,2,0,1,24
NAGALAND,2004,18,4,0,3,1,0,0,26
NAGALAND,2005,17,9,0,7,0,0,0,33
NAGALAND,2006,23,3,0,3,2,3,0,34
NAGALAND,2007,13,6,0,8,1,0,0,28
NAGALAND,2008,19,7,0,15,1,4,0,46
NAGALAND,2009,22,10,0,11,0,0,0,43
NAGALAND,2010,16,6,0,13,3,1,0,39
NAGALAND,2011,23,3,0,9,0,1,0,36
NAGALAND,2012,21,10,0,16,0,0,0,47
NAGALAND,2013,21,7,0,15,0,1,0,44
NAGALAND,2014,21,8,0,16,0,1,0,46
NAGALAND,2015,22,8,0,17,0,1,0,48
NAGALAND,2016,22,8,0,18,0,1,0,49
NAGALAND,2017,23,8,0,19,0,1,0,51
NAGALAND,2018,23,9,0,20,0,1,0,53
NAGALAND,2019,23,9,0,21,1,1,0,55
NAGALAND,2020,24,9,0,22,1,1,0,57
NAGALAND,2021,24,10,0,23,1,2,0,60
NAGALAND,2022,25,10,0,25,1,2,0,63
NAGALAND,2023,25,10,0,26,1,2,0,64
NAGALAND,2024,26,10,0,27,1,2,0,66
ODISHA,2001,790,434,294,1655,458,1266,0,4897
ODISHA,2002,691,432,248,1605,188,1167,0,4331
ODISHA,2003,725,373,279,1669,188,1289,0,4523
ODISHA,2004,770,423,319,1811,170,1192,0,4685
ODISHA,2005,799,547,334,2238,184,1671,0,5773
ODISHA,2006,985,577,457,2415,247,694,12,5387
ODISHA,2007,939,660,461,2775,241,728,0,5804
ODISHA,2008,1113,762,401,2782,282,1618,0,6958
ODISHA,2009,1023,799,384,2697,210,2047,1,7161
ODISHA,2010,1025,912,388,2905,232,2067,5,7534
ODISHA,2011,1112,1008,465,3207,235,2320,0,8347
ODISHA,2012,1458,1364,525,4187,304,2638,0,10476
ODISHA,2013,1302,1186,511,3798,234,2355,2,9388
ODISHA,2014,1356,1262,531,3999,232,2477,2,9859
ODISHA,2015,1410,1338,551,4199,230,2600,2,10330
ODISHA,2016,1463,1414,571,4400,229,2722,2,10801
ODISHA,2017,1517,1491,592,4600,227,2845,2,11274
ODISHA,2018,1571,1567,612,4801,225,2968,2,11746
ODISHA,2019,1625,1643,632,5001,224,3090,2,12217
ODISHA,2020,1679,1719,652,5202,222,3213,2,12689
ODISHA,2021,1733,1795,672,5402,220,3335,2,13159
ODISHA,2022,1787,1872,693,5603,219,3458,3,13635
ODISHA,2023,1840,1948,713,5803,217,3581,3,14105
ODISHA,2024,1894,2024,733,6004,215,3703,3,14576
PUDUCHERRY,2001,9,3,1,35,27,3,0,78
PUDUCHERRY,2002,6,6,5,59,26,9,0,111
PUDUCHERRY,2003,2,13,1,56,27,4,0,103
PUDUCHERRY,2004,4,8,6,50,30,2,0,100
PUDUCHERRY,2005,6,3,4,60,26,6,0,105
PUDUCHERRY,2006,9,13,3,56,39,19,0,139
PUDUCHERRY,2007,9,14,2,89,32,17,0,163
PUDUCHERRY,2008,8,9,2,65,21,12,0,117
PUDUCHERRY,2009,1,13,0,53,16,10,0,93
PUDUCHERRY,2010,3,14,1,46,22,7,0,93
PUDUCHERRY,2011,7,9,1,35,16,10,0,78
PUDUCHERRY,2012,13,16,0,9,2,6,0,46
PUDUCHERRY,2013,7,15,0,39,12,11,0,84
PUDUCHERRY,2014,7,15,0,37,10,11,0,80
PUDUCHERRY,2015,7,16,0,35,9,12,0,79
PUDUCHERRY,2016,8,17,0,34,7,12,0,78
PUDUCHERRY,2017,8,18,0,32,5,13,0,76
PUDUCHERRY,2018,8,18,-1,30,3,13,0,71
PUDUCHERRY,2019,8,19,-1,28,2,13,0,69
PUDUCHERRY,2020,8,20,-1,27,0,14,0,68
PUDUCHERRY,2021,9,21,-2,25,-1,14,0,66
PUDUCHERRY,2022,9,22,-2,23,-2,15,0,65
PUDUCHERRY,2023,9,22,-2,21,-4,15,0,61
PUDUCHERRY,2024,9,23,-2,19,-6,16,0,59
PUNJAB,2001,298,324,159,372,47,1128,0,2328
PUNJAB,2002,299,354,166,341,145,944,0,2249
PUNJAB,2003,380,295,110,346,199,987,0,2317
PUNJAB,2004,390,311,113,261,38,801,0,1914
PUNJAB,2005,398,329,99,308,43,729,0,1906
PUNJAB,2006,442,418,130,314,60,801,2,2167
PUNJAB,2007,519,545,133,427,48,971,0,2643
PUNJAB,2008,517,514,128,388,49,984,0,2580
PUNJAB,2009,511,513,126,319,33,1061,0,2563
PUNJAB,2010,546,576,121,349,38,1163,0,2793
PUNJAB,2011,479,517,143,282,31,1136,0,2588
PUNJAB,2012,680,689,118,340,31,1293,0,3151
PUNJAB,2013,637,656,119,332,10,1159,0,2913
PUNJAB,2014,665,688,117,331,1,1183,0,2985
PUNJAB,2015,693,720,116,330,-6,1208,0,3061
PUNJAB,2016,721,752,114,329,-14,1232,0,3134
PUNJAB,2017,749,784,113,329,-22,1257,0,3210
PUNJAB,2018,777,816,111,328,-30,1281,0,3283
PUNJAB,2019,805,848,110,327,-39,1306,0,3357
PUNJAB,2020,833,880,108,326,-47,1330,0,3430
PUNJAB,2021,861,912,107,326,-55,1355,0,3506
PUNJAB,2022,889,944,105,325,-63,1379,0,3579
PUNJAB,2023,917,976,104,324,-71,1404,0,3654
PUNJAB,2024,945,1008,102,323,-80,1428,0,3726
RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,12057
RAJASTHAN,2002,1051,2019,399,2730,44,5691,0,11934
RAJASTHAN,2003,1050,1750,389,2715,33,5733,1,11671
RAJASTHAN,2004,1038,1881,379,2825,41,6781,1,12946
RAJASTHAN,2005,993,1549,361,2503,28,5997,0,11431
RAJASTHAN,2006,1085,1553,394,2582,31,7038,3,12686
RAJASTHAN,2007,1238,1694,439,2477,28,8170,0,14046
RAJASTHAN,2008,1355,1863,439,2520,19,8113,0,14309
RAJASTHAN,2009,1519,2310,436,2485,24,10371,0,17145
RAJASTHAN,2010,1571,2477,462,2339,23,11145,0,18017
RAJASTHAN,2011,1800,2713,514,2447,9,12218,0,19701
RAJASTHAN,2012,2049,2697,478,2352,18,13312,0,20906
RAJASTHAN,2013,1885,2519,495,2282,8,13060,0,20249
RAJASTHAN,2014,1972,2591,506,2237,5,13786,0,21097
RAJASTHAN,2015,2060,2662,518,2193,2,14512,0,21947
RAJASTHAN,2016,2147,2734,529,2148,0,15238,0,22796
RAJASTHAN,2017,2235,2805,540,2104,-4,15964,0,23644
RAJASTHAN,2018,2323,2876,552,2059,-7,16690,0,24493
RAJASTHAN,2019,2410,2948,563,2015,-10,17416,0,25342
RAJASTHAN,2020,2498,3019,574,1970,-13,18142,0,26190
RAJASTHAN,2021,2585,3090,586,1926,-17,18868,0,27038
RAJASTHAN,2022,2673,3162,597,1881,-20,19594,0,27887
RAJASTHAN,2023,2760,3233,608,1837,-23,20320,-1,28734
RAJASTHAN,2024,2848,3305,619,1792,-26,21046,-1,29583
SIKKIM,2001,8,2,0,0,14,0,0,24
SIKKIM,2002,6,2,0,17,0,3,0,28
SIKKIM,2003,10,0,0,25,0,1,0,36
SIKKIM,2004,3,4,0,40,0,1,0,48
SIKKIM,2005,18,2,0,38,0,4,0,62
SIKKIM,2006,20,7,0,14,0,6,0,47
SIKKIM,2007,24,9,0,13,0,7,0,53
SIKKIM,2008,20,4,0,19,0,5,0,48
SIKKIM,2009,18,6,0,10,0,6,0,40
SIKKIM,2010,18,6,1,11,0,3,0,39
SIKKIM,2011,16,10,0,24,0,4,0,54
SIKKIM,2012,34,10,1,19,0,4,0,68
SIKKIM,2013,28,10,0,18,-2,5,0,59
SIKKIM,2014,29,10,0,18,-2,6,0,61
SIKKIM,2015,31,11,0,18,-3,6,0,63
SIKKIM,2016,33,12,0,18,-3,6,0,66
SIKKIM,2017,35,13,0,17,-4,7,0,68
SIKKIM,2018,37,14,0,17,-5,7,0,70
SIKKIM,2019,38,14,0,17,-5,7,0,71
SIKKIM,2020,40,15,1,17,-6,8,0,75
SIKKIM,2021,42,16,1,17,-6,8,0,78
SIKKIM,2022,44,17,1,17,-7,8,0,80
SIKKIM,2023,46,17,1,17,-7,9,0,83
SIKKIM,2024,47,18,1,17,-8,9,0,84
TAMIL NADU,2001,423,607,191,1773,1012,815,14,4835
TAMIL NADU,2002,534,714,243,1877,1718,1052,0,6138
TAMIL NADU,2003,557,632,220,2022,881,1555,1,5868
TAMIL NADU,2004,618,692,225,1861,1081,1437,0,5914
TAMIL NADU,2005,571,783,215,1764,665,1650,0,5648
TAMIL NADU,2006,457,718,187,1179,852,1248,0,4641
TAMIL NADU,2007,523,1097,208,1540,875,1976,0,6219
TAMIL NADU,2008,573,1160,207,1705,974,1648,0,6267
TAMIL NADU,2009,596,1133,194,1242,501,1460,0,5126
TAMIL NADU,2010,686,1464,165,1405,638,1570,0,5928
TAMIL NADU,2011,677,1743,152,1467,464,1812,0,6315
TAMIL NADU,2012,737,1693,110,1494,382,1965,0,6381
TAMIL NADU,2013,706,1735,141,1292,339,1980,-2,6191
TAMIL NADU,2014,726,1842,134,1243,263,2051,-2,6257
TAMIL NADU,2015,745,1950,126,1194,187,2122,-3,6321
TAMIL NADU,2016,765,2057,118,1146,110,2194,-4,6386
TAMIL NADU,2017,785,2165,110,1097,34,2265,-4,6452
TAMIL NADU,2018,804,2272,102,1048,-42,2337,-5,6516
TAMIL NADU,2019,824,2380,94,999,-118,2408,-5,6582
TAMIL NADU,2020,843,2487,86,950,-195,2480,-6,6645
TAMIL NADU,2021,863,2595,78,901,-271,2551,-6,6711
TAMIL NADU,2022,883,2702,70,852,-348,2622,-7,6774
TAMIL NADU,2023,902,2810,63,803,-424,2694,-8,6840
TAMIL NADU,2024,922,2917,55,754,-501,2765,-8,6904
TELANGANA,2001,406,316,284,1558,632,2537,7,5740
TELANGANA,2002,486,414,277,1621,898,2767,0,6463
TELANGANA,2003,421,346,258,1561,845,3199,4,6634
TELANGANA,2004,434,466,274,1462,923,3693,2,7254
TELANGANA,2005,385,415,239,1411,1042,4155,0,7647
TELANGANA,2006,487,569,261,1664,853,4257,0,8091
TELANGANA,2007,479,652,342,1618,1138,4740,0,8969
TELANGANA,2008,533,554,258,1617,928,4093,0,7983
TELANGANA,2009,506,630,263,1713,1000,4735,0,8847
TELANGANA,2010,463,568,238,1287,1008,4536,0,8100
TELANGANA,2011,541,534,273,1498,993,4454,0,8293
TELANGANA,2012,506,517,193,1396,1260,4720,0,8592
TELANGANA,2013,531,638,238,1466,1169,5219,-1,9260
TELANGANA,2014,540,660,234,1455,1202,5408,-1,9498
TELANGANA,2015,550,681,230,1445,1234,5597,-2,9735
TELANGANA,2016,559,703,226,1434,1266,5786,-2,9972
TELANGANA,2017,569,724,223,1424,1298,5975,-3,10210
TELANGANA,2018,578,746,219,1414,1331,6164,-3,10449
TELANGANA,2019,587,767,215,1403,1363,6353,-3,10685
TELANGANA,2020,597,789,211,1393,1395,6542,-4,10923
TELANGANA,2021,606,810,207,1382,1428,6731,-4,11160
TELANGANA,2022,616,832,204,1372,1460,6920,-5,11399
TELANGANA,2023,625,854,200,1361,1492,7109,-5,11636
TELANGANA,2024,634,875,196,1351,1524,7298,-5,11873
TRIPURA,2001,102,35,16,58,0,227,0,438
TRIPURA,2002,108,48,16,128,0,236,0,536
TRIPURA,2003,114,29,20,127,0,247,0,537
TRIPURA,2004,160,54,20,134,0,302,0,670
TRIPURA,2005,162,43,34,161,1,439,0,840
TRIPURA,2006,189,62,35,207,0,471,0,964
TRIPURA,2007,157,81,36,244,4,545,0,1067
TRIPURA,2008,204,110,16,346,4,735,0,1415
TRIPURA,2009,190,92,29,384,5,815,0,1515
TRIPURA,2010,238,91,25,376,9,937,0,1676
TRIPURA,2011,205,116,30,294,9,702,0,1356
TRIPURA,2012,229,114,37,314,7,858,0,1559
TRIPURA,2013,248,125,34,410,9,985,0,1811
TRIPURA,2014,260,133,36,438,10,1053,0,1930
TRIPURA,2015,272,142,37,465,10,1122,0,2048
TRIPURA,2016,283,150,38,493,11,1190,0,2165
TRIPURA,2017,295,158,40,520,12,1258,0,2283
TRIPURA,2018,307,166,41,548,13,1326,0,2401
TRIPURA,2019,319,174,42,576,14,1394,0,2519
TRIPURA,2020,331,182,44,603,15,1462,0,2637
TRIPURA,2021,342,190,45,631,16,1531,0,2755
TRIPURA,2022,354,198,46,658,17,1599,0,2872
TRIPURA,2023,366,207,48,686,18,1667,0,2992
TRIPURA,2024,378,215,49,714,19,1735,0,3110
UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,19858
UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0,15317
UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0,12426
UTTAR PRADESH,2004,1397,2324,1708,1900,2682,4950,3,14964
UTTAR PRADESH,2005,1217,2256,1564,1835,2881,4505,0,14258
UTTAR PRADESH,2006,1314,2551,1798,2096,2714,5204,0,15677
UTTAR PRADESH,2007,1648,3363,2076,2522,2882,7650,0,20141
UTTAR PRADESH,2008,1871,4439,2237,2955,3374,8312,0,23188
UTTAR PRADESH,2009,1759,5078,2232,2782,2524,8566,0,22941
UTTAR PRADESH,2010,1563,5468,2217,2793,11,7978,0,20030
UTTAR PRADESH,2011,2042,7525,2322,3455,3,7121,0,22468
UTTAR PRADESH,2012,1963,7910,2244,3247,8,7661,0,23033
UTTAR PRADESH,2013,1914,7404,2335,3292,412,8414,0,23771
UTTAR PRADESH,2014,1964,7933,2389,3418,136,8714,0,24554
UTTAR PRADESH,2015,2015,8462,2443,3544,-140,9013,0,25337
UTTAR PRADESH,2016,2065,8991,2497,3670,-416,9312,0,26119
UTTAR PRADESH,2017,2115,9520,2550,3796,-692,9612,0,26901
UTTAR PRADESH,2018,2165,10049,2604,3922,-969,9911,0,27682
UTTAR PRADESH,2019,2216,10578,2658,4048,-1245,10211,0,28466
UTTAR PRADESH,2020,2266,11107,2712,4174,-1522,10510,0,29247
UTTAR PRADESH,2021,2316,11636,2766,4299,-1798,10810,0,30029
UTTAR PRADESH,2022,2366,12165,2820,4425,-2074,11109,0,30811
UTTAR PRADESH,2023,2417,12694,2874,4551,-2351,11409,0,31594
UTTAR PRADESH,2024,2467,13223,2928,4677,-2627,11708,0,32376
UTTARAKHAND,2001,74,126,56,103,84,301,0,744
UTTARAKHAND,2002,89,155,66,145,97,316,1,869
UTTARAKHAND,2003,107,134,93,136,98,317,0,885
UTTARAKHAND,2004,115,127,82,143,110,405,0,982
UTTARAKHAND,2005,133,125,63,100,89,272,0,782
UTTARAKHAND,2006,147,183,80,153,113,358,0,1034
UTTARAKHAND,2007,117,227,70,146,63,463,0,1086
UTTARAKHAND,2008,87,222,73,120,306,340,0,1148
UTTARAKHAND,2009,111,247,94,119,249,361,0,1181
UTTARAKHAND,2010,121,249,75,125,165,334,0,1069
UTTARAKHAND,2011,129,283,83,116,72,307,0,990
UTTARAKHAND,2012,148,256,71,139,73,368,0,1055
UTTARAKHAND,2013,139,292,81,128,158,364,0,1162
UTTARAKHAND,2014,143,307,82,128,163,367,0,1190
UTTARAKHAND,2015,147,322,83,128,168,370,0,1218
UTTARAKHAND,2016,150,338,84,128,173,373,0,1246
UTTARAKHAND,2017,154,353,85,128,178,376,0,1274
UTTARAKHAND,2018,158,368,86,128,183,379,0,1302
UTTARAKHAND,2019,162,383,87,128,188,382,0,1330
UTTARAKHAND,2020,166,398,88,128,193,385,0,1358
UTTARAKHAND,2021,169,413,89,128,198,388,0,1385
UTTARAKHAND,2022,173,428,90,128,203,391,0,1413
UTTARAKHAND,2023,177,443,91,128,208,395,0,1442
UTTARAKHAND,2024,181,458,92,128,213,398,0,1470
WEST BENGAL,2001,709,695,265,954,48,3859,3,6533
WEST BENGAL,2002,759,694,273,964,34,4069,1,6794
WEST BENGAL,2003,1002,801,329,1186,71,4948,1,8338
WEST BENGAL,2004,1475,1018,396,1566,64,6334,12,10865
WEST BENGAL,2005,1686,1039,446,1572,54,6936,61,11794
WEST BENGAL,2006,1731,1199,445,1837,63,7414,1,12690
WEST BENGAL,2007,2106,1590,451,2281,99,9900,5,16432
WEST BENGAL,2008,2263,1907,451,2396,94,13663,5,20779
WEST BENGAL,2009,2336,2187,506,1942,108,16112,5,23196
WEST BENGAL,2010,2311,2764,507,2465,163,17796,8,26014
WEST BENGAL,2011,2363,3711,510,2363,200,19772,0,28919
WEST BENGAL,2012,2046,4168,593,3345,556,19865,12,30585
WEST BENGAL,2013,2748,3812,602,3102,313,21772,8,32357
WEST BENGAL,2014,2904,4120,629,3286,341,23447,7,34734
WEST BENGAL,2015,3061,4427,655,3470,370,25121,7,37111
WEST BENGAL,2016,3217,4735,682,3654,398,26796,7,39489
WEST BENGAL,2017,3373,5042,708,3838,426,28470,7,41864
WEST BENGAL,2018,3530,5350,734,4022,455,30144,7,44242
WEST BENGAL,2019,3686,5657,761,4206,483,31819,6,46618
WEST BENGAL,2020,3843,5965,787,4390,511,33493,6,48995
WEST BENGAL,2021,3999,6272,814,4574,540,35168,6,51373
WEST BENGAL,2022,4155,6580,840,4758,568,36842,6,53749
WEST BENGAL,2023,4312,6887,867,4942,596,38517,6,56127
WEST BENGAL,2024,4468,7195,893,5126,625,40191,5,58503
